"--101eced83d19b81f","Захід"
"steam_inventory_collection_event_flake","Різдвяна колекція"
"steam_inventory_collection_event_red","Перша світова колекція"
"steam_inventory_collection_mxs_01","Колекція Sangres"
"steam_inventory_collection_overkill_01","Колекція повністю OVERKILL"
"steam_inventory_collection_sfs_01","Колекція ''Обличчя зі шрамом"
"steam_inventory_collection_skf_01","Колекція ''Спільнота 5"
"steam_inventory_collection_surf_01","Колекція Бодхі"
"steam_inventory_collection_wac_01","Колекція Джона Уіка"
"steam_inventory_collection_weapon_01","Колекція ''Супутник"
"steam_inventory_collection_wwt_01","Колекція спадщини Олдстоуна"
"steam_inventory_dlc_required","$dlc; необхідний для застосування цього скіну зброї"
"steam_inventory_mods_included","Модифікації включають"
"steam_inventory_quality","Якість:"
"steam_inventory_rarity","Рідкість:"
"steam_inventory_stat_boost","Підвищення статистики:"
"steam_inventory_team_boost","Команда Буст:"
"steam_rp_current_difficulty","Труднощі;"
"steam_rp_current_heist_multi_day","Наразі пограбування на $heist; день $day;"
"steam_rp_current_heist_one_day","Наразі грабуємо на $heist;"
"steam_rp_current_players","$current;/$max; Гравці"
"steam_rp_current_spree","Рівень ''Розгул злочинності'' - $;"
"steam_rp_in_lobby","У фойє"
"steam_rp_in_lobby_heist","У фойє для пограбування;"
"sydney_desc","Національність: Австралійка$NL;Вік: 24$NL;$NL;Келлі ''Сідней'' Кінг досить ефектно увійшла в наше життя, коли перервала пограбування, яке здійснювала банда ''День зарплати''. Використовуючи різноманітну зброю та вибухівку, їй ледве вдалося викрасти сумку, повну готівки. Я був вражений цим божевільним і безстрашним вчинком, так само як і інші, навіть якщо вони не хотіли цього визнавати. Незважаючи на це, у мене не було жодних сумнівів, коли я попросив її приєднатися до нас - з великим ризиком приходить велика винагорода. "
"trophy_ace","Справжній ас."
"trophy_ace_desc","Єдина картка, яка вам потрібна."
"trophy_ace_objective","Вбийте $max_progress; ворогів за допомогою кидка ''Піковий туз'', граючи на складності OVERKILL або вище."
"trophy_ace_progress","Ворогів вбито"
"trophy_aru_1","Друзі в тісному колі"
"trophy_aru_1_completion_objective","Complete the ''Knife Legislation'' Side Job."
"trophy_aru_1_desc","Смертоносні кинджали Push Daggers - ваші вірні друзі у скрутну хвилину."
"trophy_aru_2","Добре виграна війна"
"trophy_aru_2_completion_objective","Complete the ''Prepare for War'' Side Job."
"trophy_aru_2_desc","Прекрасно збережений пістолет Парабелум."
"trophy_aru_3","Швидкоговоритель"
"trophy_aru_3_completion_objective","Complete the ''Rapid Retribution'' Side Job."
"trophy_aru_3_desc","Добре змащений пістолет-кулемет MP40, вправно застосований."
"trophy_aru_4","Супутник героя"
"trophy_aru_4_completion_objective","Complete ''The Control's Hundred Tab'' Side Job."
"trophy_aru_4_desc","Гвинтівка Galant Rifle - надійна службова гвинтівка збройних сил США. Окраса будь-якої респектабельної колекції."
"trophy_bains_book","Посібник Bain's Guide"
"trophy_bains_book_completion_objective","Виконайте завдання ''Без жалю'' на нормальній складності або вище."
"trophy_bains_book_desc","Бейн отримав ''Путівник Каліостро'' як плату за пограбування лікарні в Нью-Йорку багато років тому."
"trophy_bank_heists","Старий вірний."
"trophy_bank_heists_desc","Ви стільки пережили разом. Гадаю, це одні з тих стосунків любові/ненависті."
"trophy_bank_heists_objective","Успішно завершити $max_progress; пограбування банку на складності OVERKILL або вище."
"trophy_bank_heists_progress","Пограбування банків"
"trophy_bex","Стрічка Влада"
"trophy_bex_desc","О, Боже. Влад розлютиться, якщо дізнається, що ти його не спалила. Але що такого особливого в цьому посланні? Не секрет, що він завжди грає з кількох боків..."
"trophy_bex_objective","Пошукайте ще трохи у сховищі банку Сан-Мартін."
"trophy_black_plate","Обсидіанова плита"
"trophy_black_plate_completion_objective","Виконайте завдання Аукціону Шеклторна на нормальній складності або вище."
"trophy_black_plate_desc","Деякі речі краще забути, щоб таємниці, які вони зберігають, не зруйнували світ. Віддай свою плоть, своє серце, щоб зупинити темряву. Вдивляйся в безодню досить довго, і ти вітатимеш кінець, бо в тріщинах і западинах Земля хороша."
"trophy_bonfire","Кнопка ''Спалити офшорні гроші"
"trophy_bonfire_desc","Не натискайте кнопку!"
"trophy_bonfire_objective","Спаліть всі свої офшорні гроші в Сейфі."
"trophy_box_1","Скарбниця цілителя"
"trophy_box_1_completion_objective","Пройдіть завдання The Golden Grin Casino та Henry's Rock на нормальному рівні складності або вище."
"trophy_box_1_desc","Золото достатньо яскраве, щоб обпалити, і достатньо темне, щоб засліпити. Воно чекає, мертве, але мріє під землею, доки не настане Час Вирівнювання. Три і один, чотири і один. Спостерігач повертається."
